DEREIA EGOISMO LEREIA
ALIKAGIRL DEREK LILICA
REVEDORE LYPHARD RIVIEREDOREE
LODE MRPROSPECTOR GRANDLUXE
QUIETAMERICAN FAPPIANO DEMURE
NOTATION WELLDECORATED NOTEST
SKICHAMP ICECAPADE SKIGOGGLE
MUSICPROSPECTOR CRAFTYPROSPECTOR THINKMUSIC
CONFIDENTIALTALK DAMASCUS CONFIDENTIALITY
SILVERCUT SILVERBUCK PERMANENTCUT
IBERO CINCOGRANDE IBERIENNE
IMPLAUSIBLE GHADEER VADA
QUENOITE RIOBRAVO TALLSUN
BIGPITUCA COHOST LADYIPE
DODGE MRPROSPECTOR STORMSTAR
SHUDANZ DANZIGCONNECTION SISTERSHU
DANCEONTHESAND COASTAL DANCINGREGENT
ABOVETHESKY PRESENTTHECOLORS MABELLE
KANDUCHA JANUS CANETONI
KENDESARON KENMARE LYREDESARON
DAISYBUCK SPENDABUCK OOPSIEDAISY
SHARPPROFILE NORTHERNJOVE ELAINEHEMMINGS
CELESTIALWONDER MAGICALWONDER GRANGEMORE
CHOCTAWRIDGE MRPROSPECTOR CINEGITA
KNOWHEIGHTS SHIRLEYHEIGHTS UNKNOWNLADY
HANOVERIAN HEATHEN TUYUTINA
KRYSTALNOIR VIDAMANSA GRANGARCA
GILDEDTIME TIMELESSMOMENT GILDEDLILLY
BUROOJ DANZIG PRINCESSSUCREE
BUONADONA ODYSSEUS TOPTHELMA
FELICIDAD THUNDERINGFORCE GUASCA
FANTASTICDANCER HENRILEBALAFRE LAGOONNEBULA
MABIJOU GHADEER CHASTITY
COUNTRYBABY PRESENTTHECOLORS SOBEAUTY
SABEDORIA RESTLESSJET KEYTOPARADISE
EUTEADORO VANHOUTEN RIGHTWIN
ROMARIN ITAJARA SALLUCA
LOCALMAID STCHAD KEMPTONMAID
FABULOSA VICTORYSPEECH FARISEA
EMPRESSSISSI OGYGIAN QUIPMASK
ENGELHEART BUCKAROO MISSBAY
TRICKYSTICKY CLEVERTRICK PRIMABABUGUN
OUREMBLEM MRPROSPECTOR PERSONALENSIGN
SIGNALTAP FAPPIANO SOUTHSEADANCER
KENTUCKYBLUSH BLUSHINGJOHN PRACTICE
DATEOFVICTORY ASSERT FACENORD
ESPETACULARBRAND SHAHRASTANI MALIBRAN
NHARASTANI SHAHRASTANI VENTURED
ALCATRAZSINGER RAHY KADESH
PROPERTY EQUALIZE PROPICIA
NEWROCHELLE GHADEER COURTLADY
RUNAWAY KIGRANDI KLUNITA
FIFYFOFUM BABOR NOSSAJOIA
DAWNAVALON PRESENTTHECOLORS IVETTEBAY
BITEBACK MINSTRELGLORY UIAPE
MENSAGEIROALADO GHADEER KEYTOTHEEDGE
FAXINAFOLLY SOHAPPY URTA
CHARLOTT YOUTH FIRSTCELINA
TOPBLADE PURPLEMOUNTAIN METBLADE
PATIODENARANJOS GALLANTSKY DOSIS
MRFRITZ DANCEBID MISSFRITCHIE
SIPHON ITAJARA EBREA
MISSESPANTOSO SOLSTEIN DIETINA
MURAKAMI STCHAD AVENIDA
RADIOSHACK HOSTAGE URISSANA
VETTORI MACHIAVELLIAN AIRDISTINGUE
TORRENTIAL GULCH KILLALOE
MUZTAZISBACK AFLEET GUEST
COLORBURST LYPHARD FAPPABURST
FRITZ GULCH BLESSINGS
GLOPEX MANZOTTI SUNPEAK
BEAUTIFULRAFAELA ALLEGED BUBBLING
MIESQUESSON MRPROSPECTOR MIESQUE
AMERICANGIPSY SEPTIEMECIEL ALGENIB
QUETEMPRANA TEMPRANERO COMENA
APRESTO FIGURON ALVORADABOREAL
ROXANEDATOCA GRIMALDI IDALIANA
EXOTICBLUE GHADEER VIEWINGBLUE
NATIAXIS GHADEER LATIAXIS
ETERNITA GHADEER RASHARKIN
INESQUECIVELLADY MANIATAO ALIKAGIRL
DARLINGDAME SEATTLEDANCER TAPPA
QUINZEQUILATES ONLYONCE HOSPITALEIRA
OMAHA ROINORMAND LAROBERTA
DANCERMAN SESTERO SISTIANA
ZEDEOURO FASTGOLD QUECARRERA
ARAPEY STCHAD SALINETA
ORCHIDBLUE GHADEER CURRAHILLCASTLE
CALCAREO GRANDORIENT SONETIGIRL
RAFABOY PASSINGBASE PLASTICDREAM
DAMASLICK SLICK DAMAGE
TRUECLASS OCEANFALLS CHILOSA
UNBRIDLEDSSONG UNBRIDLED TROLLEYSONG
NORTHERNAFLEET AFLEET NURYETTE
ELUSIVEQUALITY GONEWEST TOUCHOFGREATNESS
WILDEVENT WILDAGAIN NORTHOFEDEN
YAGLI JADEHUNTER NIJINSKYSBEST
SPEEDDAUGHTER RAHY VERBALIZE
LAZIZA CRYPTOCLEARANCE LADYELEANOR
GREENISHSTAR GREENDANCER STARGAME
FAHIM GREENDESERT MAHRAH
HONOURANDGLORY RELAUNCH FAIRTOALL
MARKOFESTEEM DARSHAAN HOMAGE
ASTORPLACE SADLERSWELLS BROADWAYJOAN
LONDRINA VICEREGENT PLAYAROUNDHONEY
PIONEERING MRPROSPECTOR TERLINGUA
EXCLUSIVELYGREY GHADEER PLANTADA
RECALLBOX EMMSON CALLBOX
JOSEFINEDIGLORY MINSTRELGLORY GLORYWAY
DEARRAFAELA RAMIRITO FEMINITE
JUSTPERFECT NUGGETPOINT GRIFFEDEPARIS
OTHERQUESTION ROINORMAND SUCHAQUESTION
ORABELLE SOLSTEIN KITAGUA
JOBDICAROLINE MINSTRELGLORY CAROLINEDIBOND
PULIGNY DANCEBID PUNTILLA
ROYALPEARL EMMSON ARTICPEARL
APRIMOGENITA TSUNAMISLEW KESUISLARK
PORPAQUETA PAYANT PORBRAVA
